NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  280  1  110  1
7  312  1  110  1
8  328  1  110  1
10  373  1  110  1
11  389  1  110  1
13  422  1  110  1
14  439  1  110  1
16  530  1  110  1
17  547  1  110  1
19  580  1  110  1
20  597  1  110  1
22  632  1  110  1
23  705  1  112  1
25  725  1  120  1
26  741  1  120  1
28  773  1  120  1
29  789  1  120  1
31  821  1  120  1
32  838  1  120  1
34  896  1  120  1
35  920  1  120  1
37  988  1  120  1
38  1006  1  120  1
40  771  1  155  1
41  789  1  155  1
43  822  1  155  1
44  840  1  155  1
46  903  1  155  1
47  960  1  158  1
49  990  1  164  1
50  1017  1  164  1
52  1049  1  164  1
53  1066  1  164  1
55  1100  1  164  1
56  1166  1  164  1
58  1200  1  164  1
59  1235  1  164  1
61  1272  1  164  1
62  1322  1  164  1
64  1393  1  164  1
65  1430  1  164  1
67  1446  1  168  1
68  1451  1  170  1
70  1515  1  170  1
71  1540  1  170  1
73  1554  1  170  1
74  1554  1  170  1
76  1554  1  170  1
77  1554  1  170  1
79  1554  1  170  1
80  1554  1  170  1
82  1554  1  170  1
83  1554  1  170  1
85  1554  1  170  1
86  1554  1  170  1
88  1554  1  170  1
89  1554  1  170  1
91  1554  1  170  1
92  1554  1  170  1
94  1554  1  170  1
95  1554  1  170  1
97  1554  1  170  1
98  1554  1  170  1
100  1554  1  170  1
101  1554  1  170  1
103  1554  1  170  1
104  1554  1  170  1
106  1554  1  170  1
107  1554  1  170  1
109  1554  1  170  1
110  1554  1  170  1
112  1554  1  170  1
113  1554  1  170  1
115  1554  1  170  1
116  1554  1  170  1
118  1554  1  170  1
119  1554  1  170  1
121  1554  1  170  1
122  1554  1  170  1
124  1554  1  170  1
125  1554  1  170  1
127  1554  1  170  1
128  1554  1  170  1
130  1554  1  170  1
131  1554  1  170  1
133  1554  1  170  1
134  1554  1  170  1
136  1554  1  170  1
137  1554  1  170  1
139  1554  1  170  1
140  1554  1  170  1
142  1554  1  170  1
143  1554  1  170  1
145  1554  1  170  1
146  1554  1  170  1
148  1554  1  170  1
149  1554  1  170  1
151  1554  1  170  1
152  1554  1  170  1
154  1554  1  170  1
155  1554  1  170  1
157  1554  1  170  1
158  1554  1  170  1
160  1554  1  170  1
161  1554  1  170  1
163  1554  1  170  1
164  1554  1  170  1
