NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  409  1  109  1
25  36  1  149  0
26  52  1  149  0
28  84  1  149  0
29  100  1  149  1
31  131  1  149  1
32  147  1  149  1
34  179  1  149  1
35  195  1  149  1
37  239  1  149  1
38  257  1  149  1
40  47  1  176  0
41  64  1  176  0
43  98  1  176  1
44  115  1  176  1
46  151  1  176  1
47  39  1  194  0
49  134  1  195  1
50  160  1  195  1
52  192  1  195  1
53  209  1  195  1
55  241  1  195  1
56  290  1  195  1
58  324  1  195  1
59  341  1  195  1
61  375  1  195  1
62  395  1  195  1
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
110  0  0  0  0
112  0  0  0  0
113  0  0  0  0
115  0  0  0  0
116  0  0  0  0
118  0  0  0  0
119  0  0  0  0
121  0  0  0  0
122  0  0  0  0
124  0  0  0  0
125  0  0  0  0
127  0  0  0  0
128  0  0  0  0
130  0  0  0  0
131  0  0  0  0
133  0  0  0  0
134  0  0  0  0
136  0  0  0  0
137  0  0  0  0
139  0  0  0  0
140  0  0  0  0
142  0  0  0  0
143  0  0  0  0
145  0  0  0  0
146  0  0  0  0
148  0  0  0  0
149  0  0  0  0
151  0  0  0  0
152  0  0  0  0
154  0  0  0  0
155  0  0  0  0
157  0  0  0  0
158  0  0  0  0
160  0  0  0  0
161  0  0  0  0
163  0  0  0  0
164  0  0  0  0
