NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  91  1  98  0
7  123  1  98  1
8  139  1  98  1
10  189  1  98  1
11  205  1  98  1
13  238  1  98  1
14  254  1  98  1
16  350  1  98  1
17  366  1  98  1
19  400  1  98  1
20  416  1  98  1
22  467  1  98  1
23  421  1  108  1
25  391  1  118  1
26  407  1  118  1
28  439  1  118  1
29  455  1  118  1
31  487  1  118  1
32  504  1  118  1
34  567  1  118  1
35  591  1  118  1
37  658  1  118  1
38  677  1  118  1
40  772  1  118  1
41  803  1  118  1
43  851  1  118  1
44  886  1  118  1
46  940  1  119  1
47  939  1  122  1
49  938  1  127  1
50  943  1  129  1
52  967  1  131  1
53  1002  1  131  1
55  1042  1  131  1
56  1047  1  131  1
58  1047  1  131  1
59  1047  1  131  1
61  1047  1  131  1
62  1047  1  131  1
64  1047  1  131  1
65  1047  1  131  1
67  1047  1  131  1
68  1047  1  131  1
70  1047  1  131  1
71  1047  1  131  1
73  1047  1  131  1
74  1047  1  131  1
76  1047  1  131  1
77  1047  1  131  1
79  1047  1  131  1
80  1047  1  131  1
82  1047  1  131  1
83  1047  1  131  1
85  1047  1  131  1
86  1047  1  131  1
88  1047  1  131  1
89  1047  1  131  1
91  1047  1  131  1
92  1047  1  131  1
94  1047  1  131  1
95  1047  1  131  1
97  1047  1  131  1
98  1047  1  131  1
100  1047  1  131  1
101  1047  1  131  1
103  1047  1  131  1
104  1047  1  131  1
106  1047  1  131  1
107  1047  1  131  1
109  1047  1  131  1
110  1047  1  131  1
112  1047  1  131  1
113  1047  1  131  1
115  1047  1  131  1
116  1047  1  131  1
118  1047  1  131  1
119  1047  1  131  1
121  1047  1  131  1
122  1047  1  131  1
124  1047  1  131  1
125  1047  1  131  1
127  1047  1  131  1
128  1047  1  131  1
130  1047  1  131  1
131  1047  1  131  1
133  1047  1  131  1
134  1047  1  131  1
136  1047  1  131  1
137  1047  1  131  1
139  1047  1  131  1
140  1047  1  131  1
142  1047  1  131  1
143  1047  1  131  1
145  1047  1  131  1
146  1047  1  131  1
148  1047  1  131  1
149  1047  1  131  1
151  1047  1  131  1
152  1047  1  131  1
154  1047  1  131  1
155  1047  1  131  1
157  1047  1  131  1
158  1047  1  131  1
160  1047  1  131  1
161  1047  1  131  1
163  1047  1  131  1
164  1047  1  131  1
