NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  49  1  137  0
7  81  1  137  0
8  97  1  137  0
10  133  1  137  1
11  149  1  137  1
13  182  1  137  1
14  198  1  137  1
16  346  1  130  1
17  363  1  130  1
19  396  1  130  1
20  413  1  130  1
22  446  1  130  1
23  527  1  131  1
25  641  1  130  1
26  656  1  130  1
28  688  1  130  1
29  704  1  130  1
31  736  1  130  1
32  752  1  130  1
34  788  1  130  1
35  808  1  130  1
37  883  1  130  1
38  901  1  130  1
40  952  1  136  1
41  970  1  136  1
43  1004  1  136  1
44  1030  1  136  1
46  1109  1  136  1
47  1074  1  146  1
49  1060  1  156  1
50  1088  1  156  1
52  1120  1  156  1
53  1137  1  156  1
55  1172  1  157  1
56  1233  1  157  1
58  1268  1  157  1
59  1308  1  157  1
61  1354  1  157  1
62  1399  1  157  1
64  1463  1  157  1
65  1493  1  157  1
67  1515  1  157  1
68  1515  1  157  1
70  1515  1  157  1
71  1515  1  157  1
73  1515  1  157  1
74  1515  1  157  1
76  1515  1  157  1
77  1515  1  157  1
79  1515  1  157  1
80  1515  1  157  1
82  1515  1  157  1
83  1515  1  157  1
85  1515  1  157  1
86  1515  1  157  1
88  1515  1  157  1
89  1515  1  157  1
91  1515  1  157  1
92  1515  1  157  1
94  1515  1  157  1
95  1515  1  157  1
97  1515  1  157  1
98  1515  1  157  1
100  1515  1  157  1
101  1515  1  157  1
103  1515  1  157  1
104  1515  1  157  1
106  1515  1  157  1
107  1515  1  157  1
109  1515  1  157  1
110  1515  1  157  1
112  1515  1  157  1
113  1515  1  157  1
115  1515  1  157  1
116  1515  1  157  1
118  1515  1  157  1
119  1515  1  157  1
121  1515  1  157  1
122  1515  1  157  1
124  1515  1  157  1
125  1515  1  157  1
127  1515  1  157  1
128  1515  1  157  1
130  1515  1  157  1
131  1515  1  157  1
133  1515  1  157  1
134  1515  1  157  1
136  1515  1  157  1
137  1515  1  157  1
139  1515  1  157  1
140  1515  1  157  1
142  1515  1  157  1
143  1515  1  157  1
145  1515  1  157  1
146  1515  1  157  1
148  1515  1  157  1
149  1515  1  157  1
151  1515  1  157  1
152  1515  1  157  1
154  1515  1  157  1
155  1515  1  157  1
157  1515  1  157  1
158  1515  1  157  1
160  1515  1  157  1
161  1515  1  157  1
163  1515  1  157  1
164  1515  1  157  1
