NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -211  0  104  0
4  -176  0  104  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  483  1  103  1
25  403  1  117  1
26  407  1  118  1
28  439  1  118  1
29  455  1  118  1
31  487  1  118  1
32  504  1  118  1
34  567  1  118  1
35  591  1  118  1
37  658  1  118  1
38  677  1  118  1
40  772  1  118  1
41  803  1  118  1
43  851  1  118  1
44  886  1  118  1
46  940  1  119  1
47  952  1  121  1
49  1008  1  121  1
50  1033  1  121  1
52  1047  1  121  1
53  1047  1  121  1
55  1047  1  121  1
56  1047  1  121  1
58  1047  1  121  1
59  1047  1  121  1
61  1047  1  121  1
62  1047  1  121  1
64  1047  1  121  1
65  1047  1  121  1
67  1047  1  121  1
68  1047  1  121  1
70  1047  1  121  1
71  1047  1  121  1
73  1047  1  121  1
74  1047  1  121  1
76  1047  1  121  1
77  1047  1  121  1
79  1047  1  121  1
80  1047  1  121  1
82  1047  1  121  1
83  1047  1  121  1
85  1047  1  121  1
86  1047  1  121  1
88  1047  1  121  1
89  1047  1  121  1
91  1047  1  121  1
92  1047  1  121  1
94  1047  1  121  1
95  1047  1  121  1
97  1047  1  121  1
98  1047  1  121  1
100  1047  1  121  1
101  1047  1  121  1
103  1047  1  121  1
104  1047  1  121  1
106  1047  1  121  1
107  1047  1  121  1
109  1047  1  121  1
110  1047  1  121  1
112  1047  1  121  1
113  1047  1  121  1
115  1047  1  121  1
116  1047  1  121  1
118  1047  1  121  1
119  1047  1  121  1
121  1047  1  121  1
122  1047  1  121  1
124  1047  1  121  1
125  1047  1  121  1
127  1047  1  121  1
128  1047  1  121  1
130  1047  1  121  1
131  1047  1  121  1
133  1047  1  121  1
134  1047  1  121  1
136  1047  1  121  1
137  1047  1  121  1
139  1047  1  121  1
140  1047  1  121  1
142  1047  1  121  1
143  1047  1  121  1
145  1047  1  121  1
146  1047  1  121  1
148  1047  1  121  1
149  1047  1  121  1
151  1047  1  121  1
152  1047  1  121  1
154  1047  1  121  1
155  1047  1  121  1
157  1047  1  121  1
158  1047  1  121  1
160  1047  1  121  1
161  1047  1  121  1
163  1047  1  121  1
164  1047  1  121  1
