NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  471  1  104  1
25  540  1  105  1
26  556  1  105  1
28  588  1  105  1
29  614  1  105  1
31  649  1  105  1
32  681  1  105  1
34  746  1  105  1
35  775  1  105  1
37  834  1  105  1
38  865  1  105  1
40  938  1  105  1
41  949  1  107  1
43  1008  1  107  1
44  1033  1  107  1
46  1047  1  107  1
47  1047  1  107  1
49  1047  1  107  1
50  1047  1  107  1
52  1047  1  107  1
53  1047  1  107  1
55  1047  1  107  1
56  1047  1  107  1
58  1047  1  107  1
59  1047  1  107  1
61  1047  1  107  1
62  1047  1  107  1
64  1047  1  107  1
65  1047  1  107  1
67  1047  1  107  1
68  1047  1  107  1
70  1047  1  107  1
71  1047  1  107  1
73  1047  1  107  1
74  1047  1  107  1
76  1047  1  107  1
77  1047  1  107  1
79  1047  1  107  1
80  1047  1  107  1
82  1047  1  107  1
83  1047  1  107  1
85  1047  1  107  1
86  1047  1  107  1
88  1047  1  107  1
89  1047  1  107  1
91  1047  1  107  1
92  1047  1  107  1
94  1047  1  107  1
95  1047  1  107  1
97  1047  1  107  1
98  1047  1  107  1
100  1047  1  107  1
101  1047  1  107  1
103  1047  1  107  1
104  1047  1  107  1
106  1047  1  107  1
107  1047  1  107  1
109  1047  1  107  1
