NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  384  1  111  1
25  414  1  116  1
26  430  1  116  1
28  462  1  116  1
29  478  1  116  1
31  510  1  116  1
32  529  1  116  1
34  594  1  116  1
35  620  1  116  1
37  685  1  116  1
38  704  1  116  1
40  735  1  121  1
41  763  1  121  1
43  808  1  121  1
44  843  1  121  1
46  912  1  121  1
47  939  1  122  1
49  961  1  125  1
50  991  1  125  1
52  1037  1  125  1
53  1047  1  125  1
55  1047  1  125  1
56  1047  1  125  1
58  1047  1  125  1
59  1047  1  125  1
61  1047  1  125  1
62  1047  1  125  1
64  1047  1  125  1
65  1047  1  125  1
67  1047  1  125  1
68  1047  1  125  1
70  1047  1  125  1
71  1047  1  125  1
73  1047  1  125  1
74  1047  1  125  1
76  1047  1  125  1
77  1047  1  125  1
79  1047  1  125  1
80  1047  1  125  1
82  1047  1  125  1
83  1047  1  125  1
85  1047  1  125  1
86  1047  1  125  1
88  1047  1  125  1
89  1047  1  125  1
91  1047  1  125  1
92  1047  1  125  1
94  1047  1  125  1
95  1047  1  125  1
97  1047  1  125  1
98  1047  1  125  1
100  1047  1  125  1
101  1047  1  125  1
103  1047  1  125  1
104  1047  1  125  1
106  1047  1  125  1
107  1047  1  125  1
109  1047  1  125  1
