NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  41  1  138  0
7  73  1  138  0
8  89  1  138  0
10  124  1  138  1
11  140  1  138  1
13  173  1  138  1
14  189  1  138  1
16  273  1  138  1
17  289  1  138  1
19  323  1  138  1
20  339  1  138  1
22  373  1  138  1
23  462  1  138  1
25  539  1  142  1
26  555  1  142  1
28  587  1  142  1
29  603  1  142  1
31  635  1  142  1
32  651  1  142  1
34  683  1  142  1
35  699  1  142  1
37  757  1  142  1
38  775  1  142  1
40  591  1  174  1
41  608  1  174  1
43  642  1  174  1
44  659  1  174  1
46  697  1  174  1
47  694  1  186  1
49  699  1  197  1
50  724  1  197  1
52  757  1  197  1
53  773  1  197  1
55  806  1  197  1
56  853  1  197  1
58  887  1  197  1
59  904  1  197  1
61  938  1  197  1
62  957  1  197  1
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
