NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -941  0  180  0
4  -946  0  180  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  446  1  106  1
25  127  1  141  1
26  143  1  141  1
28  164  1  142  1
29  180  1  142  1
31  212  1  142  1
32  228  1  142  1
34  260  1  142  1
35  276  1  142  1
37  334  1  142  1
38  352  1  142  1
40  84  1  173  0
41  101  1  173  1
43  135  1  173  1
44  152  1  173  1
46  192  1  173  1
47  139  1  186  1
49  146  1  194  1
50  172  1  194  1
52  204  1  194  1
53  221  1  194  1
55  253  1  194  1
56  290  1  195  1
58  324  1  195  1
59  341  1  195  1
61  375  1  195  1
62  395  1  195  1
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
