NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  230  1  86  1
7  262  1  86  1
8  278  1  86  1
10  332  1  86  1
11  348  1  86  1
13  381  1  86  1
14  397  1  86  1
16  496  1  86  1
17  513  1  86  1
19  546  1  86  1
20  563  1  86  1
22  629  1  86  1
23  693  1  86  1
25  758  1  86  1
26  775  1  86  1
28  812  1  86  1
29  860  1  86  1
31  900  1  86  1
32  946  1  86  1
34  940  1  91  1
35  974  1  91  1
37  1029  1  91  1
38  1044  1  91  1
40  1047  1  91  1
41  1047  1  91  1
43  1047  1  91  1
44  1047  1  91  1
46  1047  1  91  1
47  1047  1  91  1
49  1047  1  91  1
50  1047  1  91  1
52  1047  1  91  1
53  1047  1  91  1
55  1047  1  91  1
56  1047  1  91  1
58  1047  1  91  1
59  1047  1  91  1
61  1047  1  91  1
62  1047  1  91  1
64  1047  1  91  1
65  1047  1  91  1
67  1047  1  91  1
68  1047  1  91  1
70  1047  1  91  1
71  1047  1  91  1
73  1047  1  91  1
74  1047  1  91  1
76  1047  1  91  1
77  1047  1  91  1
79  1047  1  91  1
80  1047  1  91  1
82  1047  1  91  1
83  1047  1  91  1
85  1047  1  91  1
86  1047  1  91  1
88  1047  1  91  1
89  1047  1  91  1
91  1047  1  91  1
92  1047  1  91  1
94  1047  1  91  1
95  1047  1  91  1
97  1047  1  91  1
98  1047  1  91  1
100  1047  1  91  1
101  1047  1  91  1
103  1047  1  91  1
104  1047  1  91  1
106  1047  1  91  1
107  1047  1  91  1
109  1047  1  91  1
110  1047  1  91  1
112  1047  1  91  1
113  1047  1  91  1
115  1047  1  91  1
116  1047  1  91  1
118  1047  1  91  1
119  1047  1  91  1
121  1047  1  91  1
122  1047  1  91  1
124  1047  1  91  1
125  1047  1  91  1
127  1047  1  91  1
128  1047  1  91  1
130  1047  1  91  1
131  1047  1  91  1
133  1047  1  91  1
134  1047  1  91  1
136  1047  1  91  1
137  1047  1  91  1
139  1047  1  91  1
140  1047  1  91  1
142  1047  1  91  1
143  1047  1  91  1
145  1047  1  91  1
146  1047  1  91  1
148  1047  1  91  1
149  1047  1  91  1
151  1047  1  91  1
152  1047  1  91  1
154  1047  1  91  1
155  1047  1  91  1
157  1047  1  91  1
158  1047  1  91  1
160  1047  1  91  1
161  1047  1  91  1
163  1047  1  91  1
164  1047  1  91  1
