NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  421  1  108  1
25  368  1  120  1
26  384  1  120  1
28  416  1  120  1
29  432  1  120  1
31  464  1  120  1
32  481  1  120  1
34  539  1  120  1
35  563  1  120  1
37  631  1  120  1
38  649  1  120  1
40  747  1  120  1
41  776  1  120  1
43  822  1  120  1
44  857  1  120  1
46  926  1  120  1
47  939  1  122  1
49  985  1  123  1
50  1014  1  123  1
52  1046  1  123  1
53  1047  1  123  1
55  1047  1  123  1
56  1047  1  123  1
58  1047  1  123  1
59  1047  1  123  1
61  1047  1  123  1
62  1047  1  123  1
64  1047  1  123  1
65  1047  1  123  1
67  1047  1  123  1
68  1047  1  123  1
70  1047  1  123  1
71  1047  1  123  1
73  1047  1  123  1
74  1047  1  123  1
76  1047  1  123  1
77  1047  1  123  1
79  1047  1  123  1
80  1047  1  123  1
82  1047  1  123  1
83  1047  1  123  1
85  1047  1  123  1
86  1047  1  123  1
88  1047  1  123  1
89  1047  1  123  1
91  1047  1  123  1
92  1047  1  123  1
94  1047  1  123  1
95  1047  1  123  1
97  1047  1  123  1
98  1047  1  123  1
100  1047  1  123  1
101  1047  1  123  1
103  1047  1  123  1
104  1047  1  123  1
106  1047  1  123  1
107  1047  1  123  1
109  1047  1  123  1
110  1047  1  123  1
112  1047  1  123  1
113  1047  1  123  1
115  1047  1  123  1
116  1047  1  123  1
118  1047  1  123  1
119  1047  1  123  1
121  1047  1  123  1
122  1047  1  123  1
124  1047  1  123  1
125  1047  1  123  1
127  1047  1  123  1
128  1047  1  123  1
130  1047  1  123  1
131  1047  1  123  1
133  1047  1  123  1
134  1047  1  123  1
136  1047  1  123  1
137  1047  1  123  1
139  1047  1  123  1
140  1047  1  123  1
142  1047  1  123  1
143  1047  1  123  1
145  1047  1  123  1
146  1047  1  123  1
148  1047  1  123  1
149  1047  1  123  1
151  1047  1  123  1
152  1047  1  123  1
154  1047  1  123  1
155  1047  1  123  1
157  1047  1  123  1
158  1047  1  123  1
160  1047  1  123  1
161  1047  1  123  1
163  1047  1  123  1
164  1047  1  123  1
