NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  409  1  109  1
25  322  1  124  1
26  338  1  124  1
28  370  1  124  1
29  386  1  124  1
31  418  1  124  1
32  434  1  124  1
34  484  1  124  1
35  506  1  124  1
37  577  1  124  1
38  595  1  124  1
40  47  1  176  0
41  64  1  176  0
43  98  1  176  1
44  115  1  176  1
46  151  1  176  1
47  -23  1  199  0
49  0  0  0  0
50  0  0  0  0
52  0  0  0  0
53  0  0  0  0
55  0  0  0  0
56  0  0  0  0
58  0  0  0  0
59  0  0  0  0
61  0  0  0  0
62  0  0  0  0
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
110  0  0  0  0
112  0  0  0  0
113  0  0  0  0
115  0  0  0  0
116  0  0  0  0
118  0  0  0  0
119  0  0  0  0
121  0  0  0  0
122  0  0  0  0
124  0  0  0  0
125  0  0  0  0
127  0  0  0  0
128  0  0  0  0
130  0  0  0  0
131  0  0  0  0
133  0  0  0  0
134  0  0  0  0
136  0  0  0  0
137  0  0  0  0
139  0  0  0  0
140  0  0  0  0
142  0  0  0  0
143  0  0  0  0
145  0  0  0  0
146  0  0  0  0
148  0  0  0  0
149  0  0  0  0
151  0  0  0  0
152  0  0  0  0
154  0  0  0  0
155  0  0  0  0
157  0  0  0  0
158  0  0  0  0
160  0  0  0  0
161  0  0  0  0
163  0  0  0  0
164  0  0  0  0
