NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  211  1  118  1
7  243  1  118  1
8  259  1  118  1
10  302  1  118  1
11  318  1  118  1
13  351  1  118  1
14  367  1  118  1
16  530  1  110  1
17  547  1  110  1
19  580  1  110  1
20  597  1  110  1
22  632  1  110  1
23  724  1  110  1
25  725  1  120  1
26  741  1  120  1
28  773  1  120  1
29  789  1  120  1
31  821  1  120  1
32  838  1  120  1
34  896  1  120  1
35  920  1  120  1
37  988  1  120  1
38  1006  1  120  1
40  771  1  155  1
41  789  1  155  1
43  822  1  155  1
44  840  1  155  1
46  903  1  155  1
47  979  1  156  1
49  893  1  175  1
50  919  1  175  1
52  952  1  175  1
53  968  1  175  1
55  1001  1  175  1
56  1062  1  175  1
58  1096  1  175  1
59  1120  1  175  1
61  1156  1  175  1
62  1199  1  175  1
64  1273  1  176  1
65  1319  1  176  1
67  1368  1  176  1
68  1386  1  176  1
70  1449  1  176  1
71  1476  1  177  1
73  1536  1  177  1
74  1561  1  177  1
76  1575  1  177  1
77  1575  1  177  1
79  1575  1  177  1
80  1575  1  177  1
82  1575  1  177  1
83  1575  1  177  1
85  1575  1  177  1
86  1575  1  177  1
88  1575  1  177  1
89  1575  1  177  1
91  1575  1  177  1
92  1575  1  177  1
94  1575  1  177  1
95  1575  1  177  1
97  1575  1  177  1
98  1575  1  177  1
100  1575  1  177  1
101  1575  1  177  1
103  1575  1  177  1
104  1575  1  177  1
106  1575  1  177  1
107  1575  1  177  1
109  1575  1  177  1
