NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  24  1  140  0
7  55  1  140  0
8  72  1  140  0
10  106  1  140  1
11  122  1  140  1
13  155  1  140  1
14  172  1  140  1
16  254  1  140  1
17  271  1  140  1
19  304  1  140  1
20  321  1  140  1
22  354  1  140  1
23  443  1  140  1
25  56  1  199  0
26  72  1  199  0
28  104  1  199  1
29  120  1  199  1
31  152  1  199  1
32  168  1  199  1
34  200  1  199  1
35  216  1  199  1
37  248  1  199  1
38  264  1  199  1
40  0  0  0  0
41  0  0  0  0
43  0  0  0  0
44  0  0  0  0
46  0  0  0  0
47  0  0  0  0
49  0  0  0  0
50  0  0  0  0
52  0  0  0  0
53  0  0  0  0
55  0  0  0  0
56  0  0  0  0
58  0  0  0  0
59  0  0  0  0
61  0  0  0  0
62  0  0  0  0
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
