NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  230  1  86  1
7  262  1  86  1
8  278  1  86  1
10  332  1  86  1
11  348  1  86  1
13  381  1  86  1
14  397  1  86  1
16  496  1  86  1
17  513  1  86  1
19  546  1  86  1
20  563  1  86  1
22  629  1  86  1
23  594  1  94  1
25  643  1  96  1
26  659  1  96  1
28  691  1  96  1
29  730  1  96  1
31  765  1  96  1
32  806  1  96  1
34  871  1  96  1
35  903  1  96  1
37  963  1  96  1
38  1002  1  96  1
40  1037  1  97  1
41  1047  1  97  1
43  1047  1  97  1
44  1047  1  97  1
46  1047  1  97  1
47  1047  1  97  1
49  1047  1  97  1
50  1047  1  97  1
52  1047  1  97  1
53  1047  1  97  1
55  1047  1  97  1
56  1047  1  97  1
58  1047  1  97  1
59  1047  1  97  1
61  1047  1  97  1
62  1047  1  97  1
64  1047  1  97  1
65  1047  1  97  1
67  1047  1  97  1
68  1047  1  97  1
70  1047  1  97  1
71  1047  1  97  1
73  1047  1  97  1
74  1047  1  97  1
76  1047  1  97  1
77  1047  1  97  1
79  1047  1  97  1
80  1047  1  97  1
82  1047  1  97  1
83  1047  1  97  1
85  1047  1  97  1
86  1047  1  97  1
88  1047  1  97  1
89  1047  1  97  1
91  1047  1  97  1
92  1047  1  97  1
94  1047  1  97  1
95  1047  1  97  1
97  1047  1  97  1
98  1047  1  97  1
100  1047  1  97  1
101  1047  1  97  1
103  1047  1  97  1
104  1047  1  97  1
106  1047  1  97  1
107  1047  1  97  1
109  1047  1  97  1
