NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  384  1  111  1
25  414  1  116  1
26  430  1  116  1
28  462  1  116  1
29  478  1  116  1
31  510  1  116  1
32  516  1  117  1
34  580  1  117  1
35  605  1  117  1
37  672  1  117  1
38  690  1  117  1
40  735  1  121  1
41  763  1  121  1
43  808  1  121  1
44  843  1  121  1
46  912  1  121  1
47  939  1  122  1
49  997  1  122  1
50  1025  1  122  1
52  1047  1  122  1
53  1047  1  122  1
55  1047  1  122  1
56  1047  1  122  1
58  1047  1  122  1
59  1047  1  122  1
61  1047  1  122  1
62  1047  1  122  1
64  1047  1  122  1
65  1047  1  122  1
67  1047  1  122  1
68  1047  1  122  1
70  1047  1  122  1
71  1047  1  122  1
73  1047  1  122  1
74  1047  1  122  1
76  1047  1  122  1
77  1047  1  122  1
79  1047  1  122  1
80  1047  1  122  1
82  1047  1  122  1
83  1047  1  122  1
85  1047  1  122  1
86  1047  1  122  1
88  1047  1  122  1
89  1047  1  122  1
91  1047  1  122  1
92  1047  1  122  1
94  1047  1  122  1
95  1047  1  122  1
97  1047  1  122  1
98  1047  1  122  1
100  1047  1  122  1
101  1047  1  122  1
103  1047  1  122  1
104  1047  1  122  1
106  1047  1  122  1
107  1047  1  122  1
109  1047  1  122  1
