NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  32  1  139  0
7  64  1  139  0
8  80  1  139  0
10  124  1  138  1
11  140  1  138  1
13  173  1  138  1
14  189  1  138  1
16  346  1  130  1
17  363  1  130  1
19  396  1  130  1
20  413  1  130  1
22  446  1  130  1
23  527  1  131  1
25  641  1  130  1
26  656  1  130  1
28  688  1  130  1
29  704  1  130  1
31  736  1  130  1
32  752  1  130  1
34  788  1  130  1
35  808  1  130  1
37  883  1  130  1
38  901  1  130  1
40  1009  1  130  1
41  1030  1  130  1
43  1066  1  130  1
44  1099  1  130  1
46  1174  1  130  1
47  1207  1  132  1
49  1272  1  132  1
50  1301  1  132  1
52  1334  1  133  1
53  1368  1  133  1
55  1425  1  133  1
56  1440  1  133  1
58  1443  1  133  1
59  1443  1  133  1
61  1443  1  133  1
62  1443  1  133  1
64  1443  1  133  1
65  1443  1  133  1
67  1443  1  133  1
68  1443  1  133  1
70  1443  1  133  1
71  1443  1  133  1
73  1443  1  133  1
74  1443  1  133  1
76  1443  1  133  1
77  1443  1  133  1
79  1443  1  133  1
80  1443  1  133  1
82  1443  1  133  1
83  1443  1  133  1
85  1443  1  133  1
86  1443  1  133  1
88  1443  1  133  1
89  1443  1  133  1
91  1443  1  133  1
92  1443  1  133  1
94  1443  1  133  1
95  1443  1  133  1
97  1443  1  133  1
98  1443  1  133  1
100  1443  1  133  1
101  1443  1  133  1
103  1443  1  133  1
104  1443  1  133  1
106  1443  1  133  1
107  1443  1  133  1
109  1443  1  133  1
