NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -315  0  112  0
4  -280  0  112  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  446  1  106  1
25  529  1  106  1
26  545  1  106  1
28  577  1  106  1
29  601  1  106  1
31  636  1  106  1
32  667  1  106  1
34  732  1  106  1
35  761  1  106  1
37  821  1  106  1
38  850  1  106  1
40  924  1  106  1
41  949  1  107  1
43  1008  1  107  1
44  1033  1  107  1
46  1047  1  107  1
47  1047  1  107  1
49  1047  1  107  1
50  1047  1  107  1
52  1047  1  107  1
53  1047  1  107  1
55  1047  1  107  1
56  1047  1  107  1
58  1047  1  107  1
59  1047  1  107  1
61  1047  1  107  1
62  1047  1  107  1
64  1047  1  107  1
65  1047  1  107  1
67  1047  1  107  1
68  1047  1  107  1
70  1047  1  107  1
71  1047  1  107  1
73  1047  1  107  1
74  1047  1  107  1
76  1047  1  107  1
77  1047  1  107  1
79  1047  1  107  1
80  1047  1  107  1
82  1047  1  107  1
83  1047  1  107  1
85  1047  1  107  1
86  1047  1  107  1
88  1047  1  107  1
89  1047  1  107  1
91  1047  1  107  1
92  1047  1  107  1
94  1047  1  107  1
95  1047  1  107  1
97  1047  1  107  1
98  1047  1  107  1
100  1047  1  107  1
101  1047  1  107  1
103  1047  1  107  1
104  1047  1  107  1
106  1047  1  107  1
107  1047  1  107  1
109  1047  1  107  1
