NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -224  0  105  0
4  -189  0  105  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  409  1  109  1
25  368  1  120  1
26  384  1  120  1
28  416  1  120  1
29  432  1  120  1
31  464  1  120  1
32  481  1  120  1
34  539  1  120  1
35  563  1  120  1
37  631  1  120  1
38  649  1  120  1
40  747  1  120  1
41  776  1  120  1
43  822  1  120  1
44  857  1  120  1
46  926  1  120  1
47  939  1  122  1
49  997  1  122  1
50  1025  1  122  1
52  1047  1  122  1
53  1047  1  122  1
55  1047  1  122  1
56  1047  1  122  1
58  1047  1  122  1
59  1047  1  122  1
61  1047  1  122  1
62  1047  1  122  1
64  1047  1  122  1
65  1047  1  122  1
67  1047  1  122  1
68  1047  1  122  1
70  1047  1  122  1
71  1047  1  122  1
73  1047  1  122  1
74  1047  1  122  1
76  1047  1  122  1
77  1047  1  122  1
79  1047  1  122  1
80  1047  1  122  1
82  1047  1  122  1
83  1047  1  122  1
85  1047  1  122  1
86  1047  1  122  1
88  1047  1  122  1
89  1047  1  122  1
91  1047  1  122  1
92  1047  1  122  1
94  1047  1  122  1
95  1047  1  122  1
97  1047  1  122  1
98  1047  1  122  1
100  1047  1  122  1
101  1047  1  122  1
103  1047  1  122  1
104  1047  1  122  1
106  1047  1  122  1
107  1047  1  122  1
109  1047  1  122  1
