NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -941  0  180  0
4  -946  0  180  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  285  1  119  1
25  150  1  139  1
26  166  1  139  1
28  198  1  139  1
29  214  1  139  1
31  246  1  139  1
32  262  1  139  1
34  294  1  139  1
35  310  1  139  1
37  375  1  139  1
38  393  1  139  1
40  84  1  173  0
41  101  1  173  1
43  135  1  173  1
44  152  1  173  1
46  192  1  173  1
47  139  1  186  1
49  111  1  197  1
50  136  1  197  1
52  169  1  197  1
53  185  1  197  1
55  218  1  197  1
56  265  1  197  1
58  299  1  197  1
59  316  1  197  1
61  350  1  197  1
62  369  1  197  1
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
