NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  297  1  108  1
7  329  1  108  1
8  345  1  108  1
10  391  1  108  1
11  407  1  108  1
13  440  1  108  1
14  456  1  108  1
16  549  1  108  1
17  565  1  108  1
19  599  1  108  1
20  615  1  108  1
22  652  1  108  1
23  742  1  108  1
25  827  1  108  1
26  843  1  108  1
28  875  1  108  1
29  896  1  108  1
31  931  1  108  1
32  960  1  108  1
34  1026  1  108  1
35  1054  1  108  1
37  1104  1  109  1
38  1128  1  109  1
40  1209  1  109  1
41  1246  1  109  1
43  1305  1  109  1
44  1338  1  109  1
46  1370  1  109  1
47  1371  1  109  1
49  1371  1  109  1
50  1371  1  109  1
52  1371  1  109  1
53  1371  1  109  1
55  1371  1  109  1
56  1371  1  109  1
58  1371  1  109  1
59  1371  1  109  1
61  1371  1  109  1
62  1371  1  109  1
64  1371  1  109  1
65  1371  1  109  1
67  1371  1  109  1
68  1371  1  109  1
70  1371  1  109  1
71  1371  1  109  1
73  1371  1  109  1
74  1371  1  109  1
76  1371  1  109  1
77  1371  1  109  1
79  1371  1  109  1
80  1371  1  109  1
82  1371  1  109  1
83  1371  1  109  1
85  1371  1  109  1
86  1371  1  109  1
88  1371  1  109  1
89  1371  1  109  1
91  1371  1  109  1
92  1371  1  109  1
94  1371  1  109  1
95  1371  1  109  1
97  1371  1  109  1
98  1371  1  109  1
100  1371  1  109  1
101  1371  1  109  1
103  1371  1  109  1
104  1371  1  109  1
106  1371  1  109  1
107  1371  1  109  1
109  1371  1  109  1
110  1371  1  109  1
112  1371  1  109  1
113  1371  1  109  1
115  1371  1  109  1
116  1371  1  109  1
118  1371  1  109  1
119  1371  1  109  1
121  1371  1  109  1
122  1371  1  109  1
124  1371  1  109  1
125  1371  1  109  1
127  1371  1  109  1
128  1371  1  109  1
130  1371  1  109  1
131  1371  1  109  1
133  1371  1  109  1
134  1371  1  109  1
136  1371  1  109  1
137  1371  1  109  1
139  1371  1  109  1
140  1371  1  109  1
142  1371  1  109  1
143  1371  1  109  1
145  1371  1  109  1
146  1371  1  109  1
148  1371  1  109  1
149  1371  1  109  1
151  1371  1  109  1
152  1371  1  109  1
154  1371  1  109  1
155  1371  1  109  1
157  1371  1  109  1
158  1371  1  109  1
160  1371  1  109  1
161  1371  1  109  1
163  1371  1  109  1
164  1371  1  109  1
