NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  49  1  84  0
4  84  1  84  0
5  253  1  84  1
7  285  1  84  1
8  301  1  84  1
10  355  1  84  1
11  372  1  84  1
13  405  1  84  1
14  421  1  84  1
16  520  1  84  1
17  537  1  84  1
19  571  1  84  1
20  588  1  84  1
22  656  1  84  1
23  718  1  84  1
25  781  1  84  1
26  799  1  84  1
28  839  1  84  1
29  886  1  84  1
31  931  1  84  1
32  974  1  84  1
34  1029  1  84  1
35  1044  1  84  1
37  1047  1  84  1
38  1047  1  84  1
40  1047  1  84  1
41  1047  1  84  1
43  1047  1  84  1
44  1047  1  84  1
46  1047  1  84  1
47  1047  1  84  1
49  1047  1  84  1
50  1047  1  84  1
52  1047  1  84  1
53  1047  1  84  1
55  1047  1  84  1
56  1047  1  84  1
58  1047  1  84  1
59  1047  1  84  1
61  1047  1  84  1
62  1047  1  84  1
64  1047  1  84  1
65  1047  1  84  1
67  1047  1  84  1
68  1047  1  84  1
70  1047  1  84  1
71  1047  1  84  1
73  1047  1  84  1
74  1047  1  84  1
76  1047  1  84  1
77  1047  1  84  1
79  1047  1  84  1
80  1047  1  84  1
82  1047  1  84  1
83  1047  1  84  1
85  1047  1  84  1
86  1047  1  84  1
88  1047  1  84  1
89  1047  1  84  1
91  1047  1  84  1
92  1047  1  84  1
94  1047  1  84  1
95  1047  1  84  1
97  1047  1  84  1
98  1047  1  84  1
100  1047  1  84  1
101  1047  1  84  1
103  1047  1  84  1
104  1047  1  84  1
106  1047  1  84  1
107  1047  1  84  1
109  1047  1  84  1
