NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -198  0  103  0
4  -163  0  103  0
5  34  1  103  0
7  65  1  103  0
8  82  1  103  0
10  129  1  103  1
11  146  1  103  1
13  179  1  103  1
14  195  1  103  1
16  289  1  103  1
17  305  1  103  1
19  339  1  103  1
20  355  1  103  1
22  399  1  103  1
23  483  1  103  1
25  563  1  103  1
26  579  1  103  1
28  611  1  103  1
29  640  1  103  1
31  675  1  103  1
32  709  1  103  1
34  774  1  103  1
35  804  1  103  1
37  862  1  103  1
38  896  1  103  1
40  966  1  103  1
41  1002  1  103  1
43  1042  1  103  1
44  1047  1  103  1
46  1047  1  103  1
47  1047  1  103  1
49  1047  1  103  1
50  1047  1  103  1
52  1047  1  103  1
53  1047  1  103  1
55  1047  1  103  1
56  1047  1  103  1
58  1047  1  103  1
59  1047  1  103  1
61  1047  1  103  1
62  1047  1  103  1
64  1047  1  103  1
65  1047  1  103  1
67  1047  1  103  1
68  1047  1  103  1
70  1047  1  103  1
71  1047  1  103  1
73  1047  1  103  1
74  1047  1  103  1
76  1047  1  103  1
77  1047  1  103  1
79  1047  1  103  1
80  1047  1  103  1
82  1047  1  103  1
83  1047  1  103  1
85  1047  1  103  1
86  1047  1  103  1
88  1047  1  103  1
89  1047  1  103  1
91  1047  1  103  1
92  1047  1  103  1
94  1047  1  103  1
95  1047  1  103  1
97  1047  1  103  1
98  1047  1  103  1
100  1047  1  103  1
101  1047  1  103  1
103  1047  1  103  1
104  1047  1  103  1
106  1047  1  103  1
107  1047  1  103  1
109  1047  1  103  1
