NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  297  1  108  1
7  329  1  108  1
8  345  1  108  1
10  391  1  108  1
11  407  1  108  1
13  440  1  108  1
14  456  1  108  1
16  549  1  108  1
17  565  1  108  1
19  599  1  108  1
20  615  1  108  1
22  652  1  108  1
23  742  1  108  1
25  827  1  108  1
26  843  1  108  1
28  875  1  108  1
29  896  1  108  1
31  931  1  108  1
32  960  1  108  1
34  1026  1  108  1
35  1054  1  108  1
37  1115  1  108  1
38  1140  1  108  1
40  1219  1  108  1
41  1256  1  108  1
43  1316  1  108  1
44  1346  1  108  1
46  1368  1  108  1
47  1368  1  108  1
49  1368  1  108  1
50  1368  1  108  1
52  1368  1  108  1
53  1368  1  108  1
55  1368  1  108  1
56  1368  1  108  1
58  1368  1  108  1
59  1368  1  108  1
61  1368  1  108  1
62  1368  1  108  1
64  1368  1  108  1
65  1368  1  108  1
67  1368  1  108  1
68  1368  1  108  1
70  1368  1  108  1
71  1368  1  108  1
73  1368  1  108  1
74  1368  1  108  1
76  1368  1  108  1
77  1368  1  108  1
79  1368  1  108  1
80  1368  1  108  1
82  1368  1  108  1
83  1368  1  108  1
85  1368  1  108  1
86  1368  1  108  1
88  1368  1  108  1
89  1368  1  108  1
91  1368  1  108  1
92  1368  1  108  1
94  1368  1  108  1
95  1368  1  108  1
97  1368  1  108  1
98  1368  1  108  1
100  1368  1  108  1
101  1368  1  108  1
103  1368  1  108  1
104  1368  1  108  1
106  1368  1  108  1
107  1368  1  108  1
109  1368  1  108  1
110  1368  1  108  1
112  1368  1  108  1
113  1368  1  108  1
115  1368  1  108  1
116  1368  1  108  1
118  1368  1  108  1
119  1368  1  108  1
121  1368  1  108  1
122  1368  1  108  1
124  1368  1  108  1
125  1368  1  108  1
127  1368  1  108  1
128  1368  1  108  1
130  1368  1  108  1
131  1368  1  108  1
133  1368  1  108  1
134  1368  1  108  1
136  1368  1  108  1
137  1368  1  108  1
139  1368  1  108  1
140  1368  1  108  1
142  1368  1  108  1
143  1368  1  108  1
145  1368  1  108  1
146  1368  1  108  1
148  1368  1  108  1
149  1368  1  108  1
151  1368  1  108  1
152  1368  1  108  1
154  1368  1  108  1
155  1368  1  108  1
157  1368  1  108  1
158  1368  1  108  1
160  1368  1  108  1
161  1368  1  108  1
163  1368  1  108  1
164  1368  1  108  1
