NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -211  0  104  0
4  -176  0  104  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  471  1  104  1
25  552  1  104  1
26  568  1  104  1
28  600  1  104  1
29  627  1  104  1
31  662  1  104  1
32  695  1  104  1
34  760  1  104  1
35  790  1  104  1
37  848  1  104  1
38  880  1  104  1
40  952  1  104  1
41  989  1  104  1
43  1037  1  104  1
44  1047  1  104  1
46  1047  1  104  1
47  1047  1  104  1
49  1047  1  104  1
50  1047  1  104  1
52  1047  1  104  1
53  1047  1  104  1
55  1047  1  104  1
56  1047  1  104  1
58  1047  1  104  1
59  1047  1  104  1
61  1047  1  104  1
62  1047  1  104  1
64  1047  1  104  1
65  1047  1  104  1
67  1047  1  104  1
68  1047  1  104  1
70  1047  1  104  1
71  1047  1  104  1
73  1047  1  104  1
74  1047  1  104  1
76  1047  1  104  1
77  1047  1  104  1
79  1047  1  104  1
80  1047  1  104  1
82  1047  1  104  1
83  1047  1  104  1
85  1047  1  104  1
86  1047  1  104  1
88  1047  1  104  1
89  1047  1  104  1
91  1047  1  104  1
92  1047  1  104  1
94  1047  1  104  1
95  1047  1  104  1
97  1047  1  104  1
98  1047  1  104  1
100  1047  1  104  1
101  1047  1  104  1
103  1047  1  104  1
104  1047  1  104  1
106  1047  1  104  1
107  1047  1  104  1
109  1047  1  104  1
